小節(onset),拍數(onset) : 6/8,小節(offset),拍數(offset) : 6/8,時值(offset) : 6/8,樂句種類,備註
1,0,2,0,3,sp,
3,0,4,0,2,p,
4,1,6,5,1,sp,
7,0,8,5,1,sp,
9,0,13,0,2,sp,
13,3,17,0,2,p,
17,0,21,0,2,sp,
21,0,24,5,1,sp,
25,0,28,0,2,sp,
29,0,32,0,2,p,
33,0,34,0,6,sp,
35,0,36,5,1,sp,
37,0,38,5,1,sp,
39,0,40,5,1,sp,
41,0,42,5,1,sp,
43,0,44,5,1,sp,
45,0,49,0,2,p,
51,0,52,5,1,sp,
53,0,54,5,1,sp,
55,0,59,0,2,p,
59,3,61,0,2,sp,
61,3,63,0,2,sp,
63,3,67,0,2,p,
67,3,68,2,1,sp,
68,3,69,2,1,p,
69,3,70,2,1,sp,
70,3,71,2,1,p,
71,3,73,0,2,sp,
73,4,74,2,1,sp,
74,4,75,2,1,sp,
75,4,76,2,1,sp,
76,4,81,0,2,p,
81,3,83,0,3,sp,
83,3,85,0,2,sp,
85,3,89,0,4,sp,有加延長線
89,3,93,0,1,p,
93,0,96,5,1,sp,
97,0,99,0,2,sp,
99,3,100,3,2,sp,
101,0,104,5.5,0.5,sp,
105,0,108,5.5,0.5,sp,
109,0,110,5,1,p,
111,0,114,5.5,0.5,sp,
115,0,118,5.5,0.5,sp,
119,0,122,5.5,0.5,sp,
123,0,127,0,2,p,
127,2,129,0,2,sp,
129,3,131,0,2,sp,
131,3,133,0,3,sp,
133,3,136,0,2,p,
137,0,138,0,2,sp,
139,0,140,0,2,p,
141,0,146,5,1,sp,
147,0,153,0,2,p,
153,2,155,0,2,sp,
155,2,157,0,2,p,
157,2,159,0,2,sp,
159,2,161,0,2,p,
161,2,163,0,2,sp,
163,2,165,0,2,sp,
165,2,169,0,6,p,
169,0,170,0,2,sp,
171,0,172,0,2,p,
173,0,174,5,1,sp,
175,0,177,0,6,p,
177,0,178,0,2,sp,
179,0,180,0,2,p,
181,0,182,5,1,sp,
183,0,185,0,6,p,
185,0,186,0,2,sp,
187,0,188,0,2,p,
189,0,190,0,2,sp,
191,0,192,0,2,p,
192,5,194,5,1,sp,
195,0,196,5,0,sp,
197,0,201,0,2,sp,
201,3,204,3,3,p,
205,0,209,0,1,sp,
209,2,215,0,2,p,
215,2,216,5,1,sp,
217,0,219,0,1,sp,
219,1,221,0,1,p,
221,0,222,5,1,sp,
223,0,224,5,1,sp,
225,0,229,0,2,p,
231,0,232,5,1,sp,?
233,0,234,5,1,sp,?
235,0,239,0,2,p,
239,3,241,0,2,sp,
241,3,243,0,2,sp,
243,3,247,0,2,p,
247,3,248,2,3,sp,
248,3,249,2,3,p,?
249,3,250,2,3,sp,
250,3,251,2,1,p,
251,3,253,0,2,sp,
253,4,254,2,1,sp,
254,4,255,2,1,sp,
255,4,256,2,1,sp,
256,4,261,0,2,p,
261,3,263,0,2,sp,
263,3,265,0,2,sp,
265,3,269,0,4,p,延長線
269,4,273,0,1,p,
273,0,276,5,1,sp,
277,0,279,0,2,sp,
279,0,280,3,2,sp,
280,0,284,5.5,0.5,sp,
285,0,288,3,3,sp,
289,0,291,0,1,p,
291,1,294,5.5,0.5,sp,
295,0,298,5.5,0.5,sp,
299,0,302,5.5,0.5,sp,
303,0,306,5.5,0.5,p,
307,0,309,0,2,sp,
309,2,311,0,2,sp,
311,2,315,0,6,p,
315,0,316,0,2,sp,
316,5,318,0,2,sp,
318,5,320,0,2,sp,
320,3,323,0,2,p,
323,3,325,0,2,sp,
325,3,327,0,2,p,
327,3,329,0,2,sp,
329,3,331,0,2,p,
331,3,333,0,2,sp,
333,3,335,0,2,sp,
335,3,339,0,2,p,
339,2,341,0,2,sp,
341,2,343,0,2,p,
343,2,345,0,2,sp,
345,2,347,0,2,sp,
347,2,351,0,2,p,
351,0,352,0,6,sp,
353,0,354,0,6,p,
355,0,355,3,2,sp,
356,0,356,3,2,sp,
357,0,357,3,2,sp,
358,0,358,3,2,sp,
359,0,361,0,2,p,
