小節(onset),拍數(onset) : 4/4,小節(offset),拍數(offset) : 4/4,時值(offset) : 4/4,樂句種類,備註
1,0,2,3.5,0.5,sp,
1,0,4,4,0.5,p,
3,0,4,4,0.5,p,
5,0,6,3.5,0.5,sp,
5,0,8,2,1,p,
7,0,8,2,1,p,
9,0,10,3.75,0.25,sp,
11,0,12,3.75,0.25,sp,
13,0,12,3.75,0.25,sp,
15,0,16,2,1,p,
17,0,18,3,0.5,sp,
19,0,21,3,0.5,p,
22,0,23,3.75,0.25,sp,
24,0,26,0,0.25,sp,
26,0.25,27,3.75,0.25,sp,
28,0,29,3.75,0.25,p,
30,0,31,2,0.5,sp,
32,0,35,0,0.5,p,
35,1,37,0,0.5,sp,
37,1,38,3.5,0.5,p,
39,0,40,2,0.5,p,
41,1.5,43,0,1,sp,
41,1.5,44,3.5,0.5,p,
44,1.5,44,3.5,0.5,p,
45,0,46,2,2,sp,
47,0,49,0,2,p,
49,0,50,3,0,sp,
51,0,52,3.75,0.25,p,
53,0.25,55,3.75,0.25,sp,
56,0.25,58,3.5,0.25,sp,
59,0,60,3.75,0.25,sp,"這裡有吧，不確定p,sp"
61,0,62,3.5,0.5,sp,
61,0,64,3,0.5,p,
63,0,64,3,0.5,p,
65,0,66,3.5,0.5,sp,
67,0,68,3.5,0.5,sp,
69,0,70,3.5,0.5,p,
71,0,73,3.75,0.25,sp,
74,0,75,3.75,0.25,sp,
76,0,77,3.75,0.25,sp,
78,0,79,2,1,p,
80,0,81,3,0.5,sp,
82,0,84,3,0.5,sp,
85,0,86,3.75,0.25,sp,
87,0,89,0,0.25,sp,
89,0,90,3.75,0.25,sp,
91,0,93,0.25,0.25,sp,
93,0.25,94,2,0.5,p,?
95,0.25,98,0,0.5,p,?
98,1,100,0,0.5,sp,
100,1,102,0,0.25,sp,
102,0,103,2,0.5,p,
