小節(onset),拍數(onset) : 4/4,小節(offset),拍數(offset) : 4/4,時值(offset) : 4/4,樂句種類,備註
1,0,2,2,1,sp,
3,0,4,2,1,p,
5,0,5,3.75,0.25,sp,
6,0,6,3.75,0.25,sp,
7,0,7,3.75,0.25,sp,
8,0,8,3.75,0.25,sp,
9,0,12,2,1,p,
14,0,15,1,1,sp,
16,0,17,1,1,p,
18,0,18,2,1,sp,
18,3.25,19,2,1,sp,
19,3.25,20,2,1,sp,
20,3.25,21,3,1,p,
21,3.25,23,3.5,0.5,sp,
24,0,26,0,1,p,tr
26,1,27,0,1,sp,
27,1,28,2,1,p,
29,0,30,0,1,sp,
31,0.25,32,0,1,sp,
32,0.25,33,0,1,p,
33,1,34,0,1,sp,
34,1,35,0,1,p,主旋律突然停?(換左手)
35,0.25,36,0,1,sp,主旋律左右交錯
36,0.25,37,0,1,sp,""""
37,0.25,38,0,1,sp,""""
38,0.25,39,0,1,sp,""""
39,0.25,40,0,1,sp,""""
40,0.25,41,0,2,sp,""""
41,0.25,42,0,2,p,
42,0,43,2,1,sp,
44,0,45,2,1,p,
46,0,46,3.75,0.25,sp,
47,0,47,3.75,0.25,sp,
48,0,48,3.75,0.25,sp,
49,0,49,3.75,0.25,sp,
50,0,50,3.75,0.25,sp,換左手
51,0,51,3.75,0.25,sp,
52,0,52,3.75,0.25,sp,
53,0,53,3.75,0.25,sp,
54,0,57,2,1,p,
59,0,60,1,1,sp,
61,0,62,1,1,p,
63,0,63,3,1,sp,
63,3.25,63,3,1,sp,
64,3.25,64,3,1,sp,
65,3.25,66,3,1,p,
66,3.25,68,3.25,0.75,sp,
69,0,71,0,1,p,tr
71,1,72,0,1,sp,
72,1,73,2,1,p,
